요양개시연월,광역시/도,연령군,성별,진료에피소드 건수,미세먼지
201001,경기도,1,남자,7722,68.0
201001,경기도,1,여자,7027,68.0
201001,경기도,2,남자,3553,68.0
201001,경기도,2,여자,3369,68.0
201001,경기도,3,남자,1790,68.0
201001,경기도,3,여자,1994,68.0
201001,경상남도,1,남자,1714,45.0
201001,경상남도,1,여자,1613,45.0
201001,경상남도,2,남자,750,45.0
201001,경상남도,2,여자,737,45.0
201001,경상남도,3,남자,334,45.0
201001,경상남도,3,여자,400,45.0
201001,경상북도,1,남자,1347,50.0
201001,경상북도,1,여자,1192,50.0
201001,경상북도,2,남자,606,50.0
201001,경상북도,2,여자,563,50.0
201001,경상북도,3,남자,305,50.0
201001,경상북도,3,여자,353,50.0
201001,광주광역시,1,남자,945,46.0
201001,광주광역시,1,여자,822,46.0
201001,광주광역시,2,남자,453,46.0
201001,광주광역시,2,여자,461,46.0
201001,광주광역시,3,남자,253,46.0
201001,광주광역시,3,여자,317,46.0
201001,대구광역시,1,남자,1295,56.0
201001,대구광역시,1,여자,1162,56.0
201001,대구광역시,2,남자,600,56.0
201001,대구광역시,2,여자,556,56.0
201001,대구광역시,3,남자,321,56.0
201001,대구광역시,3,여자,387,56.0
201001,대전광역시,1,남자,892,48.0
201001,대전광역시,1,여자,832,48.0
201001,대전광역시,2,남자,482,48.0
201001,대전광역시,2,여자,470,48.0
201001,대전광역시,3,남자,329,48.0
201001,대전광역시,3,여자,336,48.0
201001,부산광역시,1,남자,1338,47.0
201001,부산광역시,1,여자,1265,47.0
201001,부산광역시,2,남자,676,47.0
201001,부산광역시,2,여자,631,47.0
201001,부산광역시,3,남자,375,47.0
201001,부산광역시,3,여자,374,47.0
201001,서울특별시,1,남자,5417,59.0
201001,서울특별시,1,여자,4758,59.0
201001,서울특별시,2,남자,2385,59.0
201001,서울특별시,2,여자,2290,59.0
201001,서울특별시,3,남자,1287,59.0
201001,서울특별시,3,여자,1428,59.0
201001,세종특별자치시,1,남자,48,54.25
201001,세종특별자치시,1,여자,93,54.25
201001,세종특별자치시,2,남자,26,54.25
201001,세종특별자치시,2,여자,31,54.25
201001,세종특별자치시,3,남자,5,54.25
201001,세종특별자치시,3,여자,20,54.25
201001,울산광역시,1,남자,662,46.0
201001,울산광역시,1,여자,544,46.0
201001,울산광역시,2,남자,301,46.0
201001,울산광역시,2,여자,309,46.0
201001,울산광역시,3,남자,178,46.0
201001,울산광역시,3,여자,183,46.0
201001,인천광역시,1,남자,1779,64.0
201001,인천광역시,1,여자,1641,64.0
201001,인천광역시,2,남자,803,64.0
201001,인천광역시,2,여자,772,64.0
201001,인천광역시,3,남자,428,64.0
201001,인천광역시,3,여자,519,64.0
201001,전라남도,1,남자,979,46.0
201001,전라남도,1,여자,824,46.0
201001,전라남도,2,남자,508,46.0
201001,전라남도,2,여자,534,46.0
201001,전라남도,3,남자,271,46.0
201001,전라남도,3,여자,355,46.0
201001,전라북도,1,남자,1170,55.0
201001,전라북도,1,여자,1072,55.0
201001,전라북도,2,남자,612,55.0
201001,전라북도,2,여자,658,55.0
201001,전라북도,3,남자,335,55.0
201001,전라북도,3,여자,405,55.0
201001,제주특별자치도,1,남자,1348,54.0
201001,제주특별자치도,1,여자,1256,54.0
201001,제주특별자치도,2,남자,685,54.0
201001,제주특별자치도,2,여자,652,54.0
201001,제주특별자치도,3,남자,273,54.0
201001,제주특별자치도,3,여자,400,54.0
201001,충청남도,1,남자,1311,45.0
201001,충청남도,1,여자,1229,45.0
201001,충청남도,2,남자,569,45.0
201001,충청남도,2,여자,541,45.0
201001,충청남도,3,남자,273,45.0
201001,충청남도,3,여자,311,45.0
201001,충청북도,1,남자,969,77.0
201001,충청북도,1,여자,903,77.0
201001,충청북도,2,남자,404,77.0
201001,충청북도,2,여자,377,77.0
201001,충청북도,3,남자,215,77.0
201001,충청북도,3,여자,244,77.0
201002,경기도,1,남자,7367,56.0
201002,경기도,1,여자,6586,56.0
201002,경기도,2,남자,3213,56.0
201002,경기도,2,여자,3323,56.0
201002,경기도,3,남자,1714,56.0
201002,경기도,3,여자,2017,56.0
201002,경상남도,1,남자,1601,42.0
201002,경상남도,1,여자,1453,42.0
201002,경상남도,2,남자,656,42.0
201002,경상남도,2,여자,655,42.0
201002,경상남도,3,남자,333,42.0
201002,경상남도,3,여자,334,42.0
201002,경상북도,1,남자,1228,47.0
201002,경상북도,1,여자,1014,47.0
201002,경상북도,2,남자,512,47.0
201002,경상북도,2,여자,467,47.0
201002,경상북도,3,남자,279,47.0
201002,경상북도,3,여자,294,47.0
201002,광주광역시,1,남자,877,39.0
201002,광주광역시,1,여자,809,39.0
201002,광주광역시,2,남자,421,39.0
201002,광주광역시,2,여자,462,39.0
201002,광주광역시,3,남자,223,39.0
201002,광주광역시,3,여자,268,39.0
201002,대구광역시,1,남자,1190,49.0
201002,대구광역시,1,여자,1034,49.0
201002,대구광역시,2,남자,545,49.0
201002,대구광역시,2,여자,561,49.0
201002,대구광역시,3,남자,323,49.0
201002,대구광역시,3,여자,391,49.0
201002,대전광역시,1,남자,878,39.0
201002,대전광역시,1,여자,738,39.0
201002,대전광역시,2,남자,429,39.0
201002,대전광역시,2,여자,417,39.0
201002,대전광역시,3,남자,242,39.0
201002,대전광역시,3,여자,324,39.0
201002,부산광역시,1,남자,1219,44.0
201002,부산광역시,1,여자,1078,44.0
201002,부산광역시,2,남자,544,44.0
201002,부산광역시,2,여자,581,44.0
201002,부산광역시,3,남자,345,44.0
201002,부산광역시,3,여자,417,44.0
201002,서울특별시,1,남자,4816,50.0
201002,서울특별시,1,여자,4296,50.0
201002,서울특별시,2,남자,2139,50.0
201002,서울특별시,2,여자,2159,50.0
201002,서울특별시,3,남자,1351,50.0
201002,서울특별시,3,여자,1378,50.0
201002,세종특별자치시,1,남자,57,46.8125
201002,세종특별자치시,1,여자,35,46.8125
201002,세종특별자치시,2,남자,16,46.8125
201002,세종특별자치시,2,여자,20,46.8125
201002,세종특별자치시,3,남자,12,46.8125
201002,세종특별자치시,3,여자,16,46.8125
201002,울산광역시,1,남자,505,44.0
201002,울산광역시,1,여자,490,44.0
201002,울산광역시,2,남자,286,44.0
201002,울산광역시,2,여자,277,44.0
201002,울산광역시,3,남자,151,44.0
201002,울산광역시,3,여자,158,44.0
201002,인천광역시,1,남자,1669,54.0
201002,인천광역시,1,여자,1498,54.0
201002,인천광역시,2,남자,774,54.0
201002,인천광역시,2,여자,801,54.0
201002,인천광역시,3,남자,407,54.0
201002,인천광역시,3,여자,548,54.0
201002,전라남도,1,남자,954,40.0
201002,전라남도,1,여자,864,40.0
201002,전라남도,2,남자,475,40.0
201002,전라남도,2,여자,483,40.0
201002,전라남도,3,남자,256,40.0
201002,전라남도,3,여자,340,40.0
201002,전라북도,1,남자,1102,47.0
201002,전라북도,1,여자,946,47.0
201002,전라북도,2,남자,592,47.0
201002,전라북도,2,여자,670,47.0
201002,전라북도,3,남자,312,47.0
201002,전라북도,3,여자,410,47.0
201002,제주특별자치도,1,남자,1332,41.0
201002,제주특별자치도,1,여자,1133,41.0
201002,제주특별자치도,2,남자,576,41.0
201002,제주특별자치도,2,여자,673,41.0
