요양개시연월,광역시/도,연령군,성별,진료에피소드 건수,미세먼지
201001,경기도,1,남자,22291,68.0
201001,경기도,1,여자,20267,68.0
201001,경기도,2,남자,20301,68.0
201001,경기도,2,여자,17495,68.0
201001,경기도,3,남자,15022,68.0
201001,경기도,3,여자,12539,68.0
201001,경상남도,1,남자,6930,45.0
201001,경상남도,1,여자,6276,45.0
201001,경상남도,2,남자,6177,45.0
201001,경상남도,2,여자,5262,45.0
201001,경상남도,3,남자,4681,45.0
201001,경상남도,3,여자,4096,45.0
201001,경상북도,1,남자,4611,50.0
201001,경상북도,1,여자,4189,50.0
201001,경상북도,2,남자,4197,50.0
201001,경상북도,2,여자,3456,50.0
201001,경상북도,3,남자,3142,50.0
201001,경상북도,3,여자,2695,50.0
201001,광주광역시,1,남자,3224,46.0
201001,광주광역시,1,여자,2938,46.0
201001,광주광역시,2,남자,2949,46.0
201001,광주광역시,2,여자,2595,46.0
201001,광주광역시,3,남자,2052,46.0
201001,광주광역시,3,여자,1863,46.0
201001,대구광역시,1,남자,4447,56.0
201001,대구광역시,1,여자,3997,56.0
201001,대구광역시,2,남자,4508,56.0
201001,대구광역시,2,여자,3871,56.0
201001,대구광역시,3,남자,3816,56.0
201001,대구광역시,3,여자,2943,56.0
201001,대전광역시,1,남자,2945,48.0
201001,대전광역시,1,여자,2713,48.0
201001,대전광역시,2,남자,2908,48.0
201001,대전광역시,2,여자,2647,48.0
201001,대전광역시,3,남자,2443,48.0
201001,대전광역시,3,여자,2057,48.0
201001,부산광역시,1,남자,4875,47.0
201001,부산광역시,1,여자,4702,47.0
201001,부산광역시,2,남자,5335,47.0
201001,부산광역시,2,여자,4461,47.0
201001,부산광역시,3,남자,4503,47.0
201001,부산광역시,3,여자,3807,47.0
201001,서울특별시,1,남자,13130,59.0
201001,서울특별시,1,여자,11997,59.0
201001,서울특별시,2,남자,13624,59.0
201001,서울특별시,2,여자,11527,59.0
201001,서울특별시,3,남자,10522,59.0
201001,서울특별시,3,여자,9086,59.0
201001,세종특별자치시,1,남자,179,54.25
201001,세종특별자치시,1,여자,190,54.25
201001,세종특별자치시,2,남자,166,54.25
201001,세종특별자치시,2,여자,115,54.25
201001,세종특별자치시,3,남자,97,54.25
201001,세종특별자치시,3,여자,96,54.25
201001,울산광역시,1,남자,1957,46.0
201001,울산광역시,1,여자,1685,46.0
201001,울산광역시,2,남자,1900,46.0
201001,울산광역시,2,여자,1617,46.0
201001,울산광역시,3,남자,1817,46.0
201001,울산광역시,3,여자,1491,46.0
201001,인천광역시,1,남자,4332,64.0
201001,인천광역시,1,여자,3959,64.0
201001,인천광역시,2,남자,4332,64.0
201001,인천광역시,2,여자,3798,64.0
201001,인천광역시,3,남자,3554,64.0
201001,인천광역시,3,여자,3328,64.0
201001,전라남도,1,남자,3510,46.0
201001,전라남도,1,여자,3073,46.0
201001,전라남도,2,남자,3122,46.0
201001,전라남도,2,여자,2808,46.0
201001,전라남도,3,남자,2481,46.0
201001,전라남도,3,여자,2294,46.0
201001,전라북도,1,남자,2798,55.0
201001,전라북도,1,여자,2490,55.0
201001,전라북도,2,남자,2895,55.0
201001,전라북도,2,여자,2615,55.0
201001,전라북도,3,남자,2274,55.0
201001,전라북도,3,여자,2011,55.0
201001,제주특별자치도,1,남자,3139,54.0
201001,제주특별자치도,1,여자,2768,54.0
201001,제주특별자치도,2,남자,3354,54.0
201001,제주특별자치도,2,여자,2862,54.0
201001,제주특별자치도,3,남자,2679,54.0
201001,제주특별자치도,3,여자,2334,54.0
201001,충청남도,1,남자,3706,45.0
201001,충청남도,1,여자,3305,45.0
201001,충청남도,2,남자,3311,45.0
201001,충청남도,2,여자,2861,45.0
201001,충청남도,3,남자,2129,45.0
201001,충청남도,3,여자,1888,45.0
201001,충청북도,1,남자,2386,77.0
201001,충청북도,1,여자,1986,77.0
201001,충청북도,2,남자,2462,77.0
201001,충청북도,2,여자,2074,77.0
201001,충청북도,3,남자,1984,77.0
201001,충청북도,3,여자,1683,77.0
201002,경기도,1,남자,25149,56.0
201002,경기도,1,여자,23325,56.0
201002,경기도,2,남자,28263,56.0
